"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.690000000E-3,7.549999952E-1,8.357999802E0,5.205999851E0,9.875657959E0
1.469607700E-2,7.170000076E-1,8.395999908E0,5.243999958E0,9.925041009E0
1.970223100E-2,7.549999952E-1,8.357999802E0,5.129000187E0,9.835284876E0
2.470823100E-2,7.170000076E-1,8.472999573E0,5.166999817E0,9.950060195E0
2.971407700E-2,8.320000172E-1,8.434000015E0,5.129000187E0,9.906120492E0
3.472023100E-2,8.320000172E-1,8.510999680E0,4.975999832E0,9.893933187E0
3.972657600E-2,8.320000172E-1,8.548999786E0,4.899000168E0,9.888266988E0
4.473219200E-2,7.549999952E-1,8.510999680E0,4.938000202E0,9.868687174E0
4.973832400E-2,7.940000296E-1,8.472999573E0,4.938000202E0,9.839004208E0
5.474424700E-2,8.700000048E-1,8.395999908E0,5.052999973E0,9.837810895E0
5.975041100E-2,7.170000076E-1,8.395999908E0,5.013999939E0,9.805462705E0
6.475641100E-2,6.790000200E-1,8.357999802E0,5.166999817E0,9.849623791E0
6.976258300E-2,7.549999952E-1,8.510999680E0,5.129000187E0,9.965630108E0
7.476912200E-2,7.170000076E-1,8.510999680E0,5.205999851E0,1.000268159E1
7.977533800E-2,8.320000172E-1,8.472999573E0,5.166999817E0,9.959007626E0
8.478156800E-2,7.170000076E-1,8.434000015E0,5.129000187E0,9.897125249E0
8.978726600E-2,6.790000200E-1,8.548999786E0,5.013999939E0,9.934114644E0
9.479349700E-2,6.409999728E-1,8.510999680E0,5.013999939E0,9.898898519E0
9.980195800E-2,6.790000200E-1,8.510999680E0,5.013999939E0,9.901431814E0
1.048102780E-1,7.170000076E-1,8.510999680E0,5.091000080E0,9.943313652E0
1.098154320E-1,7.549999952E-1,8.548999786E0,5.013999939E0,9.939598469E0
1.148215820E-1,6.409999728E-1,8.434000015E0,5.052999973E0,9.852717694E0
1.198298890E-1,6.409999728E-1,8.510999680E0,4.938000202E0,9.860620797E0
1.248388980E-1,7.170000076E-1,8.510999680E0,4.975999832E0,9.884926853E0
1.298473600E-1,7.549999952E-1,8.548999786E0,4.938000202E0,9.901478088E0
1.348556050E-1,7.940000296E-1,8.548999786E0,4.822999954E0,9.847698307E0
1.398636820E-1,8.700000048E-1,8.510999680E0,4.899000168E0,9.858712806E0
1.448713900E-1,8.320000172E-1,8.548999786E0,4.899000168E0,9.888266988E0
1.498791590E-1,8.700000048E-1,8.626000404E0,5.052999973E0,1.003481897E1
1.548867130E-1,7.170000076E-1,8.548999786E0,5.052999973E0,9.956520230E0
1.598946360E-1,8.320000172E-1,8.586999893E0,5.052999973E0,9.998079812E0
1.649023270E-1,7.940000296E-1,8.548999786E0,5.013999939E0,9.942636913E0
1.699101730E-1,7.940000296E-1,8.548999786E0,5.129000187E0,1.000112375E1
1.749189570E-1,8.320000172E-1,8.548999786E0,5.129000187E0,1.000421233E1
1.799268040E-1,7.549999952E-1,8.548999786E0,5.013999939E0,9.939598469E0
1.849351880E-1,7.940000296E-1,8.626000404E0,5.091000080E0,1.004771620E1
1.899434190E-1,8.320000172E-1,8.586999893E0,5.129000187E0,1.003670435E1
1.949518860E-1,8.700000048E-1,8.626000404E0,5.129000187E0,1.007330263E1
1.999607320E-1,8.700000048E-1,8.626000404E0,5.243999958E0,1.013234023E1
2.049695060E-1,8.320000172E-1,8.548999786E0,5.282000065E0,1.008350862E1
