"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.615357400E-2,-5.080000162E-1,1.011999989E1,1.182999969E0,1.020156609E1
2.116242000E-2,-4.309999943E-1,1.008199978E1,1.144999981E0,1.015595911E1
2.617095800E-2,-3.160000145E-1,1.004300022E1,1.144999981E0,1.011299829E1
3.117988100E-2,-3.160000145E-1,1.011999989E1,1.297999978E0,1.020779397E1
3.618687500E-2,-3.160000145E-1,1.015799999E1,1.182999969E0,1.023153502E1
4.119387500E-2,-2.779999971E-1,1.015799999E1,1.106999993E0,1.022192236E1
4.620027300E-2,-2.779999971E-1,1.023499966E1,1.182999969E0,1.030689046E1
5.120734900E-2,-3.160000145E-1,1.019600010E1,1.067999959E0,1.025665140E1
5.621448800E-2,-4.309999943E-1,1.011999989E1,1.067999959E0,1.018532192E1
6.122256500E-2,-4.309999943E-1,1.008199978E1,9.150000215E-1,1.013260606E1
6.623146800E-2,-4.309999943E-1,1.019600010E1,8.389999866E-1,1.023953612E1
7.124069900E-2,-3.930000067E-1,1.015799999E1,7.620000243E-1,1.019411874E1
7.624939100E-2,-4.690000117E-1,1.004300022E1,7.239999771E-1,1.007997968E1
8.125827500E-2,-5.460000038E-1,1.008199978E1,6.470000148E-1,1.011748213E1
8.626704400E-2,-5.080000162E-1,1.004300022E1,6.090000272E-1,1.007426417E1
9.127582600E-2,-5.839999914E-1,1.008199978E1,7.239999771E-1,1.012481859E1
9.628436500E-2,-4.690000117E-1,1.004300022E1,7.239999771E-1,1.007997968E1
1.012927390E-1,-5.839999914E-1,1.011999989E1,8.389999866E-1,1.017149815E1
1.063015850E-1,-5.460000038E-1,1.008199978E1,8.769999743E-1,1.013478981E1
1.113104160E-1,-4.309999943E-1,1.004300022E1,9.919999838E-1,1.010107313E1
1.163197230E-1,-4.690000117E-1,1.011999989E1,9.539999962E-1,1.017568055E1
1.213289530E-1,-4.690000117E-1,1.004300022E1,9.539999962E-1,1.009910543E1
1.263375680E-1,-3.549999893E-1,1.004300022E1,7.620000243E-1,1.007812098E1
1.313442740E-1,-3.549999893E-1,1.011999989E1,8.000000119E-1,1.015777646E1
1.363504280E-1,-3.160000145E-1,1.011999989E1,8.769999743E-1,1.016284324E1
1.413570660E-1,-2.399999946E-1,1.008199978E1,8.000000119E-1,1.011653693E1
1.463640660E-1,-3.930000067E-1,1.008199978E1,7.620000243E-1,1.011838982E1
1.513710890E-1,-3.160000145E-1,1.008199978E1,8.000000119E-1,1.011862518E1
1.563776270E-1,-3.930000067E-1,9.967000008E0,8.769999743E-1,1.001322461E1
1.613841120E-1,-3.549999893E-1,1.000500011E1,8.769999743E-1,1.004963588E1
1.663909580E-1,-3.160000145E-1,1.008199978E1,8.000000119E-1,1.011862518E1
1.713978850E-1,-3.549999893E-1,1.000500011E1,7.620000243E-1,1.004025380E1
1.764050390E-1,-2.399999946E-1,1.004300022E1,6.850000024E-1,1.006919453E1
